"ROW_NO","WAGES","EDUCATION","AGE","SEX","LANGUAGE"
"884",,"13","28","Male","English"
"885","6.94000005722046","14","19","Male","English"
"886",,"5","64","Female","English"
"887","14.0699996948242","12.6999998092651","56","Female","English"
"888",,"8.5","18","Female","English"
"889",,"9.5","56","Male","English"
"890","7",,"19","Female","English"
"891",,"8","61","Male","English"
"892",,"14","80","Female","English"
"893","12","12","36","Male","English"
"894","8","14","43","Female","English"
"895","28.3600006103516","15","39","Male","English"
"896","9.48999977111816","9","55","Female","English"
"897","15.039999961853","13","56","Female","English"
"898",,"11.5","85","Female","English"
"899",,"8","68","Female","English"
"900",,"9","46","Male","English"
"901","16.8999996185303","12.6000003814697","42","Female","English"
"902",,"13","38","Male","English"
"903","27.3400001525879","14.8000001907349","37","Female","English"
"904","8.05000019073486","12","29","Female","English"
"905",,"14.6000003814697","31","Female","English"
"906","13.7600002288818",,"29","Male","English"
"907",,"8","66","Male","English"
"908","10","15","29","Male","English"
"909","19.2000007629395","16","30","Female","Other"
"910",,"8","89","Male","English"
"911","5.59999990463257","12","29","Female","English"
"912",,"19","49","Male","Other"
"913",,"10","49","Female","French"
"914",,"12","34","Female","English"
"915",,"12","18","Female","French"
"916",,"12","39","Female","English"
"917","11.3599996566772","12","51","Male","English"
"918","16.4799995422363",,"37","Male","English"
"919",,"19","56","Female","English"
"920","18.9400005340576","16","32","Female","English"
"921","9.43000030517578","11","21","Male","English"
"922","18.2099990844727","12","45","Female","English"
"923",,"12.8000001907349","45","Female","English"
"924","20.8400001525879","13.8000001907349","39","Female","Other"
"925","24","17","31","Male","English"
"926",,"10.5","80","Male","English"
"927",,"5","28","Male","Other"
"928",,"10","50","Male","French"
"929","27.8400001525879","18","53","Male","English"
"930","34.560001373291","12","46","Male","English"
"931",,"8","65","Female","English"
"932","15.8699998855591","10.5","45","Female","Other"
"933","31.8999996185303","8","58","Male","Other"
"934","6.69999980926514","11","18","Female","English"
"935",,"9","70","Male","English"
"936","12","8","29","Male","English"
"937","7","13.8000001907349","20","Female","English"
"938",,"12.1000003814697","51","Male","Other"
"939","7.8899998664856","12","61","Female","English"
"940",,"7","77","Male","English"
"941",,"11","26","Female","Other"
"942",,"16","58","Male","English"
"943","9.81999969482422","12","18","Male","English"
"944","6.69999980926514","20","43","Male","English"
"945",,"15.5","41","Female","English"
"946",,"10","80","Female","English"
"947",,"10","22","Male","English"
"948",,"6","58","Female","English"
"949",,"17","43","Male","English"
"950","7","12","25","Male","English"
"951","18","15","26","Male","English"
"952","26.1800003051758","17","38","Female","Other"
"953","33.5999984741211","13","60","Male","English"
"954","20","12","36","Male","English"
"955","6.84999990463257","12.6000003814697","20","Female","English"
"956","15.8500003814697","11","33","Male","French"
"957",,"8","65","Female","English"
"958","21.9099998474121",,"36","Male","English"
"959",,"5","73","Female","Other"
"960",,"12","68","Female","English"
"961",,"14","76","Male","English"
"962","7.48000001907349","12.6999998092651","38","Female","French"
"963","28.1399993896484","16","56","Female","English"
"964",,"10","26","Male","English"
"965",,"9","89","Female","English"
"966",,"7","70","Female","English"
"967",,"9","78","Female","English"
"968",,"11","82","Female","English"
"969",,"8","48","Female","English"
"970","7.67000007629395","5","62","Female","Other"
"971","13.8800001144409","10","57","Male","Other"
"972","17.4400005340576","5","58","Male","Other"
"973","14.0500001907349","10.5","58","Male","English"
"974","13.539999961853","12","56","Female","English"
"975","19.8600006103516","12.5","63","Male","French"
"976",,"10.3000001907349","23","Male","English"
"977","18.7199993133545","16.5","26","Male","English"
"978",,"8","58","Male","French"
"979",,"10","67","Male","English"
"980",,"16.6000003814697","37","Male","Other"
"981","21.6000003814697","16","29","Male","English"
"982","18.3500003814697","12.5","27","Male","English"
"983","8.26000022888184","10.5","32","Female","English"
"984","20.8500003814697","12","40","Female","English"
"985","12","12","30","Male","English"
"986","14.3599996566772","10","53","Female","English"
"987","12.960000038147","18","35","Male","English"
"988","17","14","40","Male","English"
"989",,"9.5","73","Male","English"
"990",,"16","56","Male","English"
"991","6.46000003814697","10.6000003814697","17","Female","English"
"992","9.34000015258789","12","18","Male","English"
"993",,"15","64","Female","French"
"994",,"9","46","Male","English"
"995",,"13","18","Male","Other"
"996",,"16","29","Male","English"
"997","15.5100002288818","12.8000001907349","37","Male","English"
"998","25","17.5","34","Female","English"
"999","19","12","35","Male","English"
"1000",,"9","69","Male","English"
"1001","8.5","12","42","Female","English"
"1002",,"12","71","Female","English"
"1003","8","13","46","Female","English"
"1004","20.4500007629395","17","58","Male","English"
"1005","18.8700008392334","14","46","Female","Other"
"1006",,"12","50","Female","English"
"1007","10","12","26","Male","English"
"1008",,"12","52","Female","Other"
"1009","12.289999961853","13.6999998092651","31","Female","English"
"1010",,"17","45","Male","English"
"1011","14.2799997329712","13","48","Female","English"
"1012","9","12.5","42","Female","English"
"1013","19.3299999237061","10","45","Male","English"
"1014","10.5600004196167","13.3999996185303","42","Female","English"
"1015","23.0900001525879","12.5","48","Female","English"
"1016","21.4400005340576","13","49","Male","English"
"1017","7","18","22","Male","English"
"1018","16.5","12","51","Male","Other"
"1019",,"8","67","Female","English"
"1020",,"15","48","Female","Other"
"1021",,"13.5","72","Male","Other"
"1022",,"5","65","Female","Other"
"1023",,"14","63","Male","English"
"1024","18.8999996185303","19.5","24","Male","English"
"1025",,"12","35","Female","English"
"1026","15.75","10","35","Male","English"
"1027",,"7","53","Female","Other"
"1028","13.210000038147","16","28","Male","English"
"1029",,"9","55","Male","English"
"1030","17.1000003814697","15","27","Female","English"
"1031","16.0799999237061","14","44","Male","English"
"1032","15.6499996185303","10","41","Male","English"
"1033","13.1300001144409","19","32","Male","French"
"1034","15.5200004577637","13.6000003814697","28","Male","French"
"1035",,"0","78","Female","English"
"1036",,"11","45","Male","English"
"1037",,"10","68","Male","English"
"1038","23.0400009155273","16","29","Male","English"
"1039","8","12","61","Male","French"
"1040",,"8","67","Male","Other"
"1041","10.8500003814697","10","44","Female","English"
"1042",,"10","51","Male","English"
"1043","12.3100004196167","16","22","Female","English"
"1044","12.8100004196167","10","41","Male","English"
"1045","21","18","24","Female","English"
"1046","16.1200008392334","12","33","Male","English"
"1047",,"13","43","Male","English"
"1048","21.6000003814697","12.6999998092651","33","Male","English"
"1049",,"6","58","Female","English"
"1050","12.3500003814697","15.3999996185303","32","Female","French"
"1051",,"7","71","Male","English"
"1052",,"8","70","Male","English"
"1053","16.3199996948242","15","38","Female","English"
"1054",,"5","75","Female","French"
"1055","19.2000007629395","11.5","53","Female","English"
"1056",,"14","32","Female","Other"
"1057",,"11.3999996185303","19","Male","English"
"1058",,"15","40","Male","English"
"1059",,"12.5","23","Male","English"
"1060","13.2299995422363","10","58","Male","English"
"1061",,"10","60","Female","French"
"1062","21.4300003051758","15","32","Male","English"
"1063",,"13.1000003814697","51","Female","English"
"1064","16.25","9","34","Male","English"
"1065","23.6299991607666","13","31","Female","English"
"1066",,"9","18","Male","English"
"1067","8","16","29","Female","English"
"1068","7.48999977111816","11.6000003814697","19","Female","English"
"1069",,"9","16","Female","English"
"1070",,"10.5","75","Female","English"
"1071",,"13","33","Male","Other"
"1072","6","15.5","20","Female","English"
"1073",,"16.1000003814697","25","Male","English"
"1074","21","11","39","Female","English"
"1075","12.0299997329712","13.8000001907349","37","Female","English"
"1076","10","13.3999996185303","37","Female","English"
"1077","19.6800003051758","12.5","38","Male","English"
"1078","10","11.3000001907349","45","Male","English"
"1079","24.7399997711182","19","32","Female","English"
"1080",,"12","50","Male","English"
"1081","13.75","17","28","Female","English"
"1082","8.97000026702881","11","23","Male","English"
"1083",,"17","42","Male","English"
"1084",,"8","84","Male","French"
"1085","14.5","14.3000001907349","46","Female","English"
"1086","9.47999954223633","8","62","Male","English"
"1087",,"13","52","Female","English"
"1088","9.19999980926514","13","40","Female","English"
"1089","14.5200004577637","15","30","Female","English"
"1090",,"15","43","Female","English"
"1091",,"12.5","80","Female","English"
"1092",,"14","58","Female","English"
"1093",,"9","53","Male","English"
"1094",,"12.5","72","Female","English"
"1095",,"11","62","Female","English"
"1096",,"11.5","32","Female","English"
"1097",,"12","43","Male","English"
"1098",,"17","22","Female","Other"
"1099","16.6800003051758","12.5","47","Male","English"
"1100",,"11","89","Female","English"
"1","10.5600004196167","15","40","Male","English"
"2","11","13.1999998092651","19","Male","English"
"3",,"16","49","Male","Other"
"4","17.7600002288818","14","46","Male","Other"
"5",,"8","71","Male","English"
"6","14","16","50","Female","English"
"7",,"12","70","Female","English"
"8",,"14.5","42","Female","English"
"9","8.19999980926514","15","31","Male","English"
"10",,"10","56","Female","English"
"11",,"12.5","71","Female","English"
"12","16.9699993133545","13.5","30","Female","English"
"13",,"2","56","Male","English"
"14","6.69999980926514","12","61","Female","English"
"15",,"12","25","Female","English"
"16",,"11","36","Female","French"
"17",,"11","54","Female","English"
"18",,"10","62","Female","English"
"19",,"10.5","70","Female","English"
"20","14","14","46","Female","Other"
"21",,"8","49","Female","English"
"22",,"8","34","Male","Other"
"23",,"11","17","Male","English"
"24",,"17","85","Female","English"
"25","19.2000007629395","18","43","Male","English"
"26","7.25","11","17","Male","English"
"27",,"11","77","Female","English"
"28",,"13","70","Male","English"
"29","16","7","46","Male","Other"
"30","23","14","32","Male","English"
"31","36.1100006103516","17","35","Male","English"
"32",,"13","89","Male","Other"
"33",,"8","68","Male","English"
"34",,"10","72","Male","English"
"35",,"11","16","Female","English"
"36",,"6","58","Female","Other"
"37","20.1599998474121","20","39","Male","English"
"38","12.6099996566772","13","32","Male","English"
"39",,"11","64","Female","English"
"40",,"10","53","Female","English"
"41",,"8","72","Male","English"
"42",,"19","38","Female","English"
"43","13.6499996185303","19","30","Female","English"
"44","9","13.8000001907349","20","Female","English"
"45",,"11","19","Female","English"
"46",,"11","18","Female","English"
"47","18.0699996948242","13.6000003814697","48","Male","Other"
"48",,"10","66","Female","English"
"49",,"12","52","Female","English"
"50",,"13","39","Female","English"
"51",,,"24","Female","NA"
"52","6.34999990463257",,"16","Male","English"
"53",,"20","67","Male","English"
"54","16.0100002288818","19","39","Female","English"
"55","26.3999996185303","12.6999998092651","38","Male","English"
"56",,"14","63","Female","English"
"57","20.6499996185303","19","37","Male","English"
"58",,"9","32","Male","English"
"59",,"18.7999992370605","59","Female","English"
"60",,"13","70","Male","English"
"61","23.0400009155273","19","37","Female","English"
"62","24.0300006866455","18.2999992370605","31","Male","English"
"63","12","14","46","Female","English"
"64","25.6000003814697","13","41","Male","English"
"65",,"14","28","Female","Other"
"66","6.84999990463257","15.6000003814697","31","Female","English"
"67",,"16","52","Female","English"
"68","15","12","40","Male","English"
"69",,"14","32","Female","Other"
"70",,"7","77","Male","English"
"71","9.75","8","60","Male","English"
"72",,"8","53","Female","English"
"73","6.69999980926514","11","17","Female","English"
"74",,"18","57","Male","English"
"75","15","17","39","Male","English"
"76",,"1","49","Female","English"
"77",,"12","49","Female","English"
"78","10.5","13.5","24","Male","English"
"79","13.2600002288818","12","52","Female","English"
"80","17.75","18","34","Male","English"
"81",,"8","91","Female","English"
"82","14.2600002288818","12","34","Female","English"
"83","18.0499992370605","15","34","Male","English"
"84",,"20","58","Male","English"
"85",,"12","73","Female","Other"
"86",,"12.5","40","Male","English"
"87",,"12","35","Female","English"
"88","18.3899993896484","9","40","Male","English"
"89","18.9200000762939","10.5","48","Male","English"
"90","20.6399993896484","19","39","Male","English"
"91",,"10","69","Male","Other"
"92","15.4899997711182","14","33","Female","English"
"93","10.3999996185303","13","62","Female","English"
"94",,"18","70","Female","English"
"95","15.3900003433228","15","28","Female","English"
"96","16.7999992370605","12.5","36","Male","English"
"97",,"10","42","Male","English"
"98","15.3599996566772","20","47","Female","English"
"99",,"12.5","19","Male","English"
"100",,"10","16","Male","English"
"101","17.9799995422363","12","53","Female","English"
"102",,"4","69","Female","Other"
"103",,"7","77","Male","Other"
"104",,"14","48","Female","English"
"105","6.69999980926514","14","20","Male","English"
"106","5","11","17","Male","Other"
"107","12","12.8000001907349","20","Male","English"
"108","6.65999984741211","15.5","31","Female","English"
"109",,"9.30000019073486","46","Female","French"
"110","14","13.5","53","Female","Other"
"111","25.6000003814697","14","34","Male","English"
"112","18.4300003051758","17","28","Male","Other"
"113","11.5","12","48","Female","Other"
"114","14","8","27","Male","English"
"115",,"8","84","Female","English"
"116","6.03000020980835","14","22","Male","Other"
"117",,"18","47","Male","English"
"118",,"12.5","51","Female","English"
"119","8.22999954223633","13","45","Female","English"
"120",,"13","22","Female","English"
"121",,"12","71","Male","English"
"122","15.3599996566772","11","51","Female","French"
"123",,"13","60","Female","English"
"124","13.75","8.5","57","Male","English"
"125",,"14","37","Female","English"
"126","7.44000005722046","9","34","Male","English"
"127","24.9599990844727","18","44","Female","English"
"128","33.1800003051758","20","54","Male","English"
"129",,"13","19","Male","English"
"130",,"11","81","Female","English"
"131","11.5900001525879","13.3999996185303","26","Male","English"
"132",,"19","73","Male","English"
"133","14.0900001525879","14","33","Male","English"
"134",,"13","62","Male","English"
"135","23.5200004577637","13","32","Male","English"
"136","15.8400001525879","12","48","Male","English"
"137","23.7199993133545","9.5","50","Male","English"
"138","8.36999988555908","12.5","65","Female","English"
"139",,"8","32","Male","French"
"140",,"9.5","47","Female","French"
"141",,"12","24","Female","English"
"142","10.1999998092651","12","26","Female","English"
"143","7.6100001335144","14","23","Female","English"
"144",,"7","57","Male","Other"
"145",,"13","62","Female","Other"
"146",,"10.5","63","Male","English"
"147",,"13","37","Female","English"
"148","6.75","10","21","Male","English"
"149","25.9099998474121","14","35","Female","English"
"150",,"8","66","Female","English"
"151",,"15","35","Female","English"
"152",,"14","33","Male","English"
"153",,"12","19","Male","French"
"154","15.9399995803833","13.1999998092651","35","Female","English"
"155","6.71000003814697","13","28","Male","English"
"156","20.7900009155273","12","34","Female","English"
"157",,"9","59","Female","English"
"158","8.75","12","49","Female","English"
"159","20.9899997711182","14","47","Male","English"
"160",,"10","31","Male","English"
"161","40.3199996948242","14","42","Male","English"
"162","8.19999980926514","14","19","Male","English"
"163","11","13","27","Female","English"
"164","15","12.5","30","Male","English"
"165",,"10","52","Female","English"
"166","40.7999992370605","20","60","Male","English"
"167","8","12","51","Female","English"
"168","14.5","10.5","45","Female","English"
"169","9","13","31","Female","English"
"170","14.3999996185303","8.5","51","Male","English"
"171",,"5","79","Male","Other"
"172",,"12","60","Female","Other"
"173","12","11","53","Female","French"
"174",,"8","55","Female","English"
"175",,"15.5","53","Female","English"
"176","7","14.3000001907349","18","Male","English"
"177",,"6","73","Female","Other"
"178","25.9200000762939","18","48","Male","English"
"179",,"13","60","Female","English"
"180",,"9","69","Female","English"
"181",,"12","18","Male","English"
"182","25.4400005340576","11","41","Male","English"
"183","10","12.1000003814697","34","Female","English"
"184","12.9700002670288","15.1000003814697","56","Male","English"
"185","7","14","19","Male","English"
"186",,"14","33","Female","English"
"187",,"11","43","Male","English"
"188","8.89000034332275","12","18","Female","English"
"189","21.5699996948242","9","41","Male","Other"
"190",,"16","74","Female","English"
"191","10.3999996185303",,"55","Female","English"
"192",,"4","62","Male","Other"
"193","20.6100006103516","12.5","40","Male","French"
"194","11.1099996566772","11","41","Male","Other"
"195",,"7","50","Female","English"
"196",,"8","79","Female","English"
"197",,"16","86","Male","English"
"198",,"5","83","Male","Other"
"199","22.1299991607666","14","55","Male","English"
"200",,"8","72","Female","English"
